Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End
Nó de Cascais,Nó de Monsanto,38.72179904,-9.442793126,38.71960798,-9.209900182
Nó de Cascais,Nó de Miraflores (A5/IC17),38.72179904,-9.442793126,38.7168212,-9.220638205
Nó de Cascais,Nó de Linda-a-Velha,38.72179904,-9.442793126,38.72091034,-9.242324413
Nó de Cascais,Nó Estádio Nacional,38.72179904,-9.442793126,38.71368991,-9.261576695
Nó de Cascais,Nó de Oeiras,38.72179904,-9.442793126,38.71245993,-9.306240464
Nó de Cascais,Nó de Carcavelos,38.72179904,-9.442793126,38.70798737,-9.339136704
Nó de Cascais,Nó do Estoril,38.72179904,-9.442793126,38.71805517,-9.39196317
Nó de Cascais,Nó de Alcabideche,38.72179904,-9.442793126,38.72736771,-9.420983178
Nó de Cascais,Nó de Alvide,38.72179904,-9.442793126,38.72736771,-9.420983178
Nó de Cascais,Nó de Cascais,38.72179904,-9.442793126,38.72179904,-9.442793126
Nó de Cascais,Nó do Estádio Nacional 3,38.72179904,-9.442793126,38.70939121,-9.263853108
Nó de Cascais,Nó do Estádio Nacional (A5/A9),38.72179904,-9.442793126,38.71747539,-9.269467602
Nó de Cascais,Nó de Queluz,38.72179904,-9.442793126,38.74240685,-9.275880729
Nó de Cascais,Nó A9/A16,38.72179904,-9.442793126,38.76849891,-9.268702771
Nó de Cascais,Nó Radial da Pontinha,38.72179904,-9.442793126,38.7845551,-9.242929469
Nó de Cascais,Nó Radial de Odivelas,38.72179904,-9.442793126,38.82468012,-9.192526726
Nó de Cascais,Nó A9/A8,38.72179904,-9.442793126,38.85316867,-9.171412221
Nó de Cascais,Nó de Bucelas (Zambujal),38.72179904,-9.442793126,38.86746531,-9.143068282
Nó de Cascais,Nó A9/A10,38.72179904,-9.442793126,38.90771835,-9.077247376
Nó de Cascais,Nó de Alverca,38.72179904,-9.442793126,38.89293583,-9.048121375
Nó do Estádio Nacional 3,Nó Viaduto Duarte Pacheco,38.70939121,-9.263853108,38.72361405,-9.177117052
Nó do Estádio Nacional 3,Nó Cruz das Oliveiras,38.70939121,-9.263853108,38.70798737,-9.339136704
Nó do Estádio Nacional 3,Nó de Monsanto,38.70939121,-9.263853108,38.71960798,-9.209900182
Nó do Estádio Nacional 3,Nó de Miraflores (A5/IC17),38.70939121,-9.263853108,38.7168212,-9.220638205
Nó do Estádio Nacional 3,Nó de Linda-a-Velha,38.70939121,-9.263853108,38.72091034,-9.242324413
Nó do Estádio Nacional 3,Nó Estádio Nacional,38.70939121,-9.263853108,38.71368991,-9.261576695
Nó do Estádio Nacional 3,Nó de Oeiras,38.70939121,-9.263853108,38.71245993,-9.306240464
Nó do Estádio Nacional 3,Nó de Carcavelos,38.70939121,-9.263853108,38.70798737,-9.339136704
Nó do Estádio Nacional 3,Nó do Estoril,38.70939121,-9.263853108,38.71805517,-9.39196317
